Name              ,City,Property Address,Postal code,Latitude,Longitude
Coopers CSA Farm & Maze,Zephyr,"266 Ashworth Rd,", L0E 1T0,44.1475324,-79.2518097
"Daniel""s Farm",Etobicoke,73 Stephen Drive,M8Y 3M8,43.633955,-79.4853919
Sweet Ridge Farm,Scarborough,8327 Steeles Ave. E.,M1X 1P2,43.6952422,-79.7010428
Circling Hawk Farm,Richmond Hill,13433 Leslie Street,L4E 1A2,43.9669818,-79.4088356
Wheelbarrow Farm,Sunderland,535 Durham Regional Rd 13, L0C1H0,44.26361,-79.06556
Willo’ Wind Farm,Uxbridge,12740 Concession Rd ,L9P 1R2,44.1070655,-79.1457477
Plan B Organic Farms,Hamilton,1377 5th Conc,N0B 1L0,43.2381326,-79.8406009
Fiddlehead Farm,Demorestville ,978 Fish Lake Road,"K0K 1W0",44.1046281,-77.1468376
Meadow Sweet Farm,Gormley,12102 Warden Ave, L0H 1G0,43.9463858,-79.3568287
Organics Family Farm,Markham,"7550 19th Ave,
", L6B 1A8,43.9590244,-79.2165114
Fenwood Farm,Ancaster,774 Sawmill Rd.,L9G 3L1,43.21806,-79.98716
Greenfields Organic Farm,Campbellville,10715 Guelph Line,L0P1B0,43.5194579,-80.0282821
Moondance Organic Gardens,Angus,8463 Line 5,L0M 1B1,44.31681,-79.88295
Our Father's Farm,Dundas,1050 Ontario 5 ,L9H 5E2,43.2661904,-79.9546341
VanHart Greenhouses All Organic,Kettleby,950 Woodchoppers Lane," L0G 1J0",44.00887,-79.56779
Uphill Farm Organics,Erin,5113 Third Line RR 2 Acton,L7J 2L8,43.7729,-80.06436
Everdale Organic Farm,Hillsburgh, 5812 6th Line,N0B 1Z0,43.7717164,-80.142386
Beretta Family Farms,King City, 4400 15th Sideroad,L7B 1K4,43.9499754,-79.5191982
Joyfully Organic Farm,Stouffville,"Whitchurch-Stouffville
",L4A 2S4,43.971194,-79.248305
