City,Property Address,Postal Code,Longitude,Latitude
Toronto,777 Bay St,M5G 2C8,-79.3844559,43.6604859
Toronto,2 Carlton St,M5B 1J3,-79.3828415,43.6616782
London,175 Exeter Rd,N6L 1A4,-81.2626,42.9197
Brampton,7535 Financial Dr,L6Y 5S1,-79.7557262,43.625042
Mississauga,5820 Kennedy Rd,L4Z 2C3,-79.6643432,43.6318598
Vaughan,140 Marycroft Ave,L4L 5Y4,-79.5660511,43.7821364
Simcoe,438-480 Norfolk St,N3Y 2X3,-80.3001565,42.8227116
Toronto,207 Queens Quay W,M5J 1A7,-79.380352,43.6388865
Hamilton,1550 Upper James St,L9B 2L6,-79.8955239,43.2036167
Port Colborne,45-53 West Side Rd,L3K 5Y7,-79.2660813,42.8955486
Toronto,4789 Yonge St,M2N 0G3,-79.4102106,43.7614156
Collingwood,640 1st St,L9Y 4Y7,-80.2339724,44.5011953
Gravenhurst,290 1st St N,P1P 1H3,-79.372407,44.921671
Hanover,236 10th St,N4N 1N9,-81.0301772,44.1520796
Owen Sound,1150 16th St E,N4K 1Z3,-80.9245756,44.5746755
Innisfil,2211 20th Sideroad,L9S 4J1,-79.5760121,44.3090335
London,1595 Adelaide St N,N5X 4E8,-81.2574759,43.0367293
Brampton,9920 Airport Rd,L6S 0C5,-79.7196283,43.7591134
Toronto,243 Alberta Ave,M6C 3X4,-79.4337309,43.6810336
Guelph/eramosa,209 Alma St,N0B 2K0,-80.1465129,43.6160204
Mississauga,3185 American Dr,L4V 1V4,-79.6181289,43.6939115
Lakeshore,12 Amy Croft Dr,N9K 0A1,-82.8685492,42.3077168
Lakeshore,19 Amy Croft Dr,N9K 1C7,-82.8675957,42.3064882
Mississauga,2240 Argentia Rd,L5N 2X7,-79.7473921,43.5968648
Haldimand,322 Argyle St S,N3W 1K8,-79.9601879,43.0626057
Toronto,40 Asquith Ave,M4W 2M4,-79.3849472,43.6717411
Toronto,1811 Avenue Rd,M5M 3Z3,-79.4185611,43.7307282
Norfolk,1031 Bay St,N0E 1M0,-80.4509484,42.6241496
Northern Bruce Peninsula,9 Bay St S,N0H 2R0,-81.665077,45.254993
Ajax,500 Bayly E,L1S 1W6,-78.992802,43.854324
Toronto,2877 Bayview Ave,M2K 1E6,-79.3872399,43.7687506
Brock,30 Beaver Ave,L0K 1A0,-79.1251071,44.4274
Barrie,319 Blake St,L4M 1K7,-79.6574638,44.3959956
Toronto,425 Bloor St W,M5S 1X6,-79.4048569,43.6661873
Toronto,2187 Bloor St W,M6P 3C4,-79.4748708,43.6512013
Toronto,4201 Bloor St W,M9C 1C6,-79.5633732,43.6351585
Toronto,90-100 E Bloor St,M4W 1A7,-79.3850612,43.6709215
Kawartha Lakes,62 Bolton St,K0M 1A0,-78.5438597,44.5370834
Haldimand,107 Bridge St,N1A 2G9,-79.6159139,42.9019944
Toronto,1755 Brimley Rd,M1P 0A3,-79.2630864,43.7780368
